timestamp,type,radio_band,ch,seq,tx_addr,is_virtual_mac,info_element,rssi_vec_len,rssi@entrance,x,y
1689749643556,PROBE_REQUEST,5,36,1657,B6AC9AA0D3D9,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-49,nan,nan
1689749643579,PROBE_REQUEST,5,36,1658,B6AC9AA0D3D9,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-48,nan,nan
1689749644024,PROBE_REQUEST,5,36,623,3868A4A4A66C,False,000001080C1218243048606CDD070050F2080019007F09040000000000004080DD7F0050F204104A000110103A00010010080002428810470010A2EEAB32726B511BA76A716505C8F545105400080001708FD0E10002103C0001031002000200001009000200001012000200001021000753616D73756E67102300054861776B6D10240004353530301011000A53616D73756E672D54561049000600372A000120DD0D506F9A0A000006000000000000DD080000F00F00020801DD11506F9A09020200250006050058580451012D1AEF011FFFFF000000000000000000000000000000000000000000BF0CB2018033FAFF0C03FAFF0C03,1,-81,nan,nan
1689749644062,PROBE_REQUEST,5,36,624,3868A4A4A66C,False,000001080C1218243048606CDD070050F2080019007F09040000000000004080DD7F0050F204104A000110103A00010010080002428810470010A2EEAB32726B511BA76A716505C8F545105400080001708FD0E10002103C0001031002000200001009000200001012000200001021000753616D73756E67102300054861776B6D10240004353530301011000A53616D73756E672D54561049000600372A000120DD0D506F9A0A000006000000000000DD080000F00F00020801DD11506F9A09020200250006050058580451012D1AEF011FFFFF000000000000000000000000000000000000000000BF0CB2018033FAFF0C03FAFF0C03,1,-80,nan,nan
1689749645988,PROBE_REQUEST,5,36,1781,067935F20539,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000088400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-57,nan,nan
1689749646007,PROBE_REQUEST,5,36,1782,067935F20539,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000088400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-57,nan,nan
1689749646610,PROBE_REQUEST,5,36,380,3868A4A4A5AC,True,000001080C1218243048606CDD070050F2080019007F09040000000000004080DD7F0050F204104A000110103A000100100800024288104700104E316203A0455023B121AEB9A66084D3105400080001708FD0E10002103C0001031002000200001009000200001012000200001021000753616D73756E67102300054861776B6D10240004353530301011000A53616D73756E672D54561049000600372A000120DD0D506F9A0A000006000000000000DD080000F00F00020801DD11506F9A09020200250006050058580451012D1AEF011FFFFF000000000000000000000000000000000000000000BF0CB2018033FAFF0C03FAFF0C03,1,-91,nan,nan
1689749646650,PROBE_REQUEST,5,36,381,3868A4A4A5AC,True,000001080C1218243048606CDD070050F2080019007F09040000000000004080DD7F0050F204104A000110103A000100100800024288104700104E316203A0455023B121AEB9A66084D3105400080001708FD0E10002103C0001031002000200001009000200001012000200001021000753616D73756E67102300054861776B6D10240004353530301011000A53616D73756E672D54561049000600372A000120DD0D506F9A0A000006000000000000DD080000F00F00020801DD11506F9A09020200250006050058580451012D1AEF011FFFFF000000000000000000000000000000000000000000BF0CB2018033FAFF0C03FAFF0C03,1,-89,nan,nan
1689749647285,PROBE_REQUEST,5,36,218,E227E10F9E37,False,000001088C129824B048606C0301242D1AEF0117FFFF0000000000000000000001000000000000000000007F080000080000000040BF0CF5708103FAFF9E07FAFF9E27DD070050F208001900,1,-39,nan,nan
1689749647305,PROBE_REQUEST,5,36,219,E227E10F9E37,False,000001088C129824B048606C0301242D1AEF0117FFFF0000000000000000000001000000000000000000007F080000080000000040BF0CF5708103FAFF9E07FAFF9E27DD070050F208001900,1,-39,nan,nan
1689749647550,PROBE_REQUEST,5,36,3009,982CBC126B23,False,000001080C1218243048606C2D1AE70917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-64,nan,nan
1689749649975,PROBE_REQUEST,5,36,1238,8C554ABCCDCF,True,000001080C1218243048606C2D1AEF0917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-92,nan,nan
1689749651034,PROBE_REQUEST,5,36,1434,3868A4A4A8C0,True,000001080C1218243048606CDD070050F2080019007F09040000000000004080DD7F0050F204104A000110103A000100100800024288104700106E6449E231D35D518DDF4930453931A3105400080001708FD0E10002103C0001031002000200001009000200001012000200001021000753616D73756E67102300054861776B6D10240004353530301011000A53616D73756E672D54561049000600372A000120DD0D506F9A0A000006000000000000DD080000F00F00020801DD11506F9A09020200250006050058580451012D1AEF011FFFFF000000000000000000000000000000000000000000BF0CB2018033FAFF0C03FAFF0C03,1,-82,nan,nan
1689749651075,PROBE_REQUEST,5,36,1435,3868A4A4A8C0,True,000001080C1218243048606CDD070050F2080019007F09040000000000004080DD7F0050F204104A000110103A000100100800024288104700106E6449E231D35D518DDF4930453931A3105400080001708FD0E10002103C0001031002000200001009000200001012000200001021000753616D73756E67102300054861776B6D10240004353530301011000A53616D73756E672D54561049000600372A000120DD0D506F9A0A000006000000000000DD080000F00F00020801DD11506F9A09020200250006050058580451012D1AEF011FFFFF000000000000000000000000000000000000000000BF0CB2018033FAFF0C03FAFF0C03,1,-81,nan,nan
1689749652779,PROBE_REQUEST,5,36,262,5249E88636CE,True,000001088C129824B048606C0301242D1AEF0117FFFF0000000000000000000001000000000000000000007F080000080000000040BF0CF5708103FAFF9E07FAFF9E27DD070050F208001900,1,-38,nan,nan
1689749652800,PROBE_REQUEST,5,36,263,5249E88636CE,True,000001088C129824B048606C0301242D1AEF0117FFFF0000000000000000000001000000000000000000007F080000080000000040BF0CF5708103FAFF9E07FAFF9E27DD070050F208001900,1,-38,nan,nan
1689749654706,PROBE_REQUEST,5,36,1763,DECEA3886589,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3210800FFEFF0000FEFF0000,1,-52,nan,nan
1689749654726,PROBE_REQUEST,5,36,1764,DECEA3886589,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3270800FFEFF0000FEFF0000,1,-52,nan,nan
1689749654995,PROBE_REQUEST,5,36,306,0EDEC8469CD8,True,000001088C129824B048606C0301242D1AEF0117FFFF0000000000000000000001000000000000000000007F080000080000000040BF0CF5708103FAFF9E07FAFF9E27DD070050F208001900,1,-37,nan,nan
1689749655016,PROBE_REQUEST,5,36,307,0EDEC8469CD8,True,000001088C129824B048606C0301242D1AEF0117FFFF0000000000000000000001000000000000000000007F080000080000000040BF0CF5708103FAFF9E07FAFF9E27DD070050F208001900,1,-38,nan,nan
1689749656272,PROBE_REQUEST,5,36,2450,8630F82E1B5D,False,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3210800FFEFF0000FEFF0000,1,-57,nan,nan
1689749656292,PROBE_REQUEST,5,36,2451,8630F82E1B5D,False,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3270800FFEFF0000FEFF0000,1,-57,nan,nan
1689749657587,PROBE_REQUEST,5,36,2702,72183129BFB4,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-48,nan,nan
1689749657604,PROBE_REQUEST,5,36,2703,72183129BFB4,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-49,nan,nan
1689749658302,PROBE_REQUEST,5,36,1747,AE889A34E102,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000088400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-53,nan,nan
1689749658321,PROBE_REQUEST,5,36,1748,AE889A34E102,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000088400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-52,nan,nan
1689749658409,PROBE_REQUEST,5,36,3033,982CBC126B23,False,000001080C1218243048606C2D1AE70917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-70,nan,nan
1689749660837,PROBE_REQUEST,5,36,3370,DAA119657C43,False,000001088C129824B048606C,1,-55,nan,nan
1689749660837,PROBE_REQUEST,5,36,3371,DAA119657C43,False,000001088C129824B048606C,1,-55,nan,nan
1689749668716,PROBE_REQUEST,5,36,3064,DA04667C4FAF,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3210800FFEFF0000FEFF0000,1,-56,nan,nan
1689749668739,PROBE_REQUEST,5,36,3065,DA04667C4FAF,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3270800FFEFF0000FEFF0000,1,-55,nan,nan
1689749668752,PROBE_REQUEST,5,36,2602,765C0BBBE18C,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3230800FFEFF0000FEFF0000,1,-57,nan,nan
1689749668773,PROBE_REQUEST,5,36,2603,765C0BBBE18C,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3270800FFEFF0000FEFF0000,1,-58,nan,nan
1689749669227,PROBE_REQUEST,5,36,3057,982CBC126B23,False,000001080C1218243048606C2D1AE70917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-67,nan,nan
1689749670379,PROBE_REQUEST,5,36,1620,3868A4A4A638,False,000001080C1218243048606CDD070050F2080019007F09040000000000004080DD7F0050F204104A000110103A0001001008000242881047001093B2485D9F0E5EBCBAEB64FB08B907C6105400080001708FD0E10002103C0001031002000200001009000200001012000200001021000753616D73756E67102300054861776B6D10240004353530301011000A53616D73756E672D54561049000600372A000120DD0D506F9A0A000006000000000000DD080000F00F00020801DD11506F9A09020200250006050058580451012D1AEF011FFFFF000000000000000000000000000000000000000000BF0CB2018033FAFF0C03FAFF0C03,1,-84,nan,nan
1689749670420,PROBE_REQUEST,5,36,1621,3868A4A4A638,False,000001080C1218243048606CDD070050F2080019007F09040000000000004080DD7F0050F204104A000110103A0001001008000242881047001093B2485D9F0E5EBCBAEB64FB08B907C6105400080001708FD0E10002103C0001031002000200001009000200001012000200001021000753616D73756E67102300054861776B6D10240004353530301011000A53616D73756E672D54561049000600372A000120DD0D506F9A0A000006000000000000DD080000F00F00020801DD11506F9A09020200250006050058580451012D1AEF011FFFFF000000000000000000000000000000000000000000BF0CB2018033FAFF0C03FAFF0C03,1,-83,nan,nan
1689749671583,PROBE_REQUEST,5,36,3385,B62B55916923,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-47,nan,nan
1689749671606,PROBE_REQUEST,5,36,3386,B62B55916923,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-47,nan,nan
1689749672288,PROBE_REQUEST,5,36,2596,AA7593E66194,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000088400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-53,nan,nan
1689749672308,PROBE_REQUEST,5,36,2597,AA7593E66194,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000088400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-55,nan,nan
1689749673822,PROBE_REQUEST,5,36,1293,8C554ABCCDCF,True,000001080C1218243048606C2D1AEF0917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-92,nan,nan
1689749674845,PROBE_REQUEST,5,36,848,1E1A885292A3,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F0B0000080400000040000020BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-37,nan,nan
1689749674865,PROBE_REQUEST,5,36,849,1E1A885292A3,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F0B0000080400000040000020BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-37,nan,nan
1689749679832,PROBE_REQUEST,5,36,3081,982CBC126B23,False,000001080C1218243048606C2D1AE70917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-70,nan,nan
1689749680268,PROBE_REQUEST,5,36,4093,06A0C8FB0400,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-42,nan,nan
1689749680863,PROBE_REQUEST,5,36,540,DAA119A1DE04,False,000001088C129824B048606C,1,-54,nan,nan
1689749680863,PROBE_REQUEST,5,36,541,DAA119A1DE04,False,000001088C129824B048606C,1,-54,nan,nan
1689749680901,PROBE_REQUEST,5,36,2674,38DEADA1E447,False,000001080C1218243048606C2D1AE70917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-77,nan,nan
1689749680910,PROBE_REQUEST,5,36,2675,38DEADA1E447,False,000001080C1218243048606C2D1AE70917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-80,nan,nan
1689749681472,PROBE_REQUEST,5,36,3385,1A1DC28DE39F,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-49,nan,nan
1689749681490,PROBE_REQUEST,5,36,1280,1A1DC28DE39F,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-50,nan,nan
1689749682602,PROBE_REQUEST,5,36,527,7AA3081918BC,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3210800FFEFF0000FEFF0000,1,-62,nan,nan
1689749682623,PROBE_REQUEST,5,36,528,7AA3081918BC,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3270800FFEFF0000FEFF0000,1,-62,nan,nan
