,basic,basic,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,seq,rssi
,timestamp,tx_addr,ie0,ie1,ie2,ie3,ie4,ie5,ie6,ie7,ie8,ie9,ie10,ie11,ie12,ie13,ie14,ie15,ie16,ie32,ie33,ie34,ie35,ie36,ie37,ie38,ie39,ie40,ie41,ie42,ie43,ie44,ie46,ie48,ie50,ie127,ie221,seq,entrance
205,1689749816981,36139E30AF17,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000088400000040,,1383,-53
218,1689749826184,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3388,-66
230,1689750005845,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3762,-66
243,1689750016441,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3785,-72
247,1689750022025,3868A4A4A66C,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a00010010080002428810470010a2eeab32726b511ba76a716505c8f545105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,887,-75
258,1689750027989,DACA21E5646C,,8c129824b048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000088400000040,,1156,-62
262,1689750029343,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3809,-71
269,1689750040153,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3832,-70
272,1689750040928,38DEADA1E447,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,-77
284,1689750048371,3868A4A4A638,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a0001001008000242881047001093b2485d9f0e5ebcbaeb64fb08b907c6105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,1884,-82
290,1689750050967,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3855,-64
304,1689750061837,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3879,-67
314,1689750072430,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3902,-68
325,1689750081363,1265FF57FE48,,8c129824b048606c,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000080000000040,0050f208001900,143,-31
330,1689750085026,3868A4A4A66C,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a00010010080002428810470010a2eeab32726b511ba76a716505c8f545105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,931,-82
332,1689750085332,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3925,-67
341,1689750090038,1265FF57FE48,,8c129824b048606c,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000080000000040,0050f208001900,204,-36
356,1689750096150,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3948,-71
